,#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age
0,1,Jaime Echenique,GBC,16,22.1,5.4,9.9,.544,0.1,0.2,.667,2.9,3.7,.797,2.2,3.1,2.2,2.6,4.8,0.6,1.2,1.1,13.8,C,6-11,258,23
1,2,Dino Radoncic,GBC,34,28.0,4.0,8.9,.451,0.7,2.9,.255,2.2,2.9,.755,1.9,1.7,1.8,3.7,5.5,1.5,1.1,0.3,11.0,GF,6-8,225,22
2,3,Johnny Dee,GBC,34,20.5,3.4,8.7,.389,2.4,6.0,.395,1.4,1.6,.852,1.4,2.4,0.3,1.6,1.9,1.1,0.8,0.0,10.5,G,6-0,185,28
3,4,Viny Okouo,GBC,34,19.3,4.0,7.9,.507,0.0,0.1,.000,1.7,2.8,.600,2.1,2.5,1.8,3.7,5.5,0.3,0.6,0.3,9.7,C,7-1,240,23
4,5,Pere Tomas,GBC,32,25.5,2.9,7.1,.410,1.5,4.2,.351,0.8,1.0,.818,0.9,1.8,1.6,3.3,4.8,1.0,0.7,0.0,8.1,SF,6-6,198,31
5,6,Lucas Faggiano,GBC,34,24.2,2.9,7.0,.408,1.0,2.6,.367,1.0,1.4,.688,1.8,2.2,0.4,1.7,2.1,3.5,1.0,0.1,7.6,G,6-2,185,31
6,7,Jan Span,GBC,34,19.9,2.4,8.2,.291,1.1,4.9,.229,0.3,0.4,.643,1.3,1.4,0.3,0.8,1.1,1.7,0.6,0.0,6.1,PG,6-1,190,28
7,8,Mike Carlson,GBC,17,16.2,2.4,5.4,.435,0.8,2.8,.298,0.4,0.8,.538,0.6,2.1,0.8,1.5,2.3,0.6,0.5,0.2,5.9,PF,6-9,200,29
8,9,William Magarity,GBC,29,14.8,1.9,4.8,.386,0.8,2.6,.293,0.8,0.9,.846,0.6,1.4,0.7,1.7,2.3,0.5,0.3,0.3,5.2,FC,6-11,250,27
9,10,Brandone Francis,GBC,15,16.2,1.7,5.7,.302,0.7,2.5,.270,0.7,1.0,.733,1.5,1.9,0.3,0.7,1.1,0.4,0.7,0.1,4.9,GF,6-5,215,25
10,11,Xabi Oroz,GBC,31,18.8,1.3,2.9,.451,0.4,1.0,.433,0.2,0.5,.429,1.2,1.6,0.7,1.5,2.1,2.8,1.3,0.2,3.3,SG,6-3,183,25
11,12,Julen Olaizola,GBC,29,8.9,0.7,1.5,.465,0.1,0.3,.222,0.2,0.6,.278,0.6,2.0,1.0,0.8,1.8,0.3,0.3,0.1,1.6,FC,6-7,218,27
12,13,Mikel Motos,GBC,17,5.0,0.4,1.7,.241,0.1,0.5,.111,0.2,0.4,.667,0.4,0.8,0.3,0.8,1.1,0.4,0.1,0.1,1.1,SG,6-4,187,28
13,1,Nikola Mirotic,FCB,28,20.9,5.1,8.6,.600,1.8,3.7,.485,2.7,3.3,.806,1.6,1.5,1.0,4.1,5.0,0.8,0.9,0.5,14.8,F,6-10,250,30
14,2,Cory Higgins,FCB,23,21.3,3.4,7.2,.473,0.7,1.9,.395,2.6,2.9,.909,1.0,1.6,0.3,1.8,2.1,2.4,1.3,0.3,10.1,G,6-5,181,31
15,3,Brandon Davies,FCB,25,16.8,3.4,6.2,.555,0.0,0.2,.250,3.0,3.6,.831,1.5,2.4,1.4,2.4,3.8,1.3,0.6,0.4,9.9,PF,6-8,240,29
16,4,Pau Gasol,FCB,6,15.1,3.5,6.8,.512,0.2,0.5,.333,1.7,1.8,.909,1.0,1.2,0.7,3.3,4.0,1.3,0.2,0.7,8.8,FC,7-0,250,40
17,5,Kyle Kuric,FCB,30,17.4,2.9,5.6,.515,1.4,3.1,.441,1.6,1.7,.904,0.7,1.1,0.5,1.1,1.7,0.6,0.6,0.1,8.7,SG,6-4,195,31
18,6,Alex Abrines,FCB,29,20.7,2.9,5.6,.519,1.8,3.9,.465,1.1,1.2,.914,0.6,2.2,0.9,2.0,2.9,0.9,0.8,0.2,8.7,GF,6-6,190,27
19,7,Artem Pustovyi,FCB,21,14.5,3.0,4.8,.634,0.0,0.0,.000,1.7,2.4,.706,1.3,2.0,1.4,1.8,3.2,0.4,0.4,0.8,7.8,C,7-2,212,28
20,8,Nick Calathes,FCB,32,19.5,3.2,6.7,.472,0.8,2.1,.403,0.6,1.0,.576,1.8,2.3,0.6,2.4,2.9,5.3,1.1,0.1,7.8,PG,6-6,213,32
21,9,Pierre Oriola,FCB,34,15.9,2.7,4.5,.604,0.2,0.4,.500,0.9,1.5,.558,1.1,2.1,1.4,2.2,3.6,0.6,0.3,0.2,6.5,PF,6-8,235,28
22,10,Rolands Smits,FCB,32,15.8,2.3,4.6,.500,0.6,1.6,.373,1.3,1.7,.745,1.1,2.0,1.0,1.9,3.0,0.6,0.6,0.1,6.4,SF,6-10,235,25
23,11,Adam Hanga,FCB,31,16.1,2.2,3.7,.578,1.1,2.0,.541,0.8,1.2,.703,1.4,1.6,0.6,2.8,3.4,2.1,0.8,0.4,6.2,SF,6-7,200,31
24,12,Leandro Bolmaro,FCB,31,15.2,1.9,3.8,.508,0.7,1.5,.457,1.5,1.7,.885,1.2,1.5,0.4,1.0,1.4,1.8,0.8,0.2,6.0,SG,6-7,182,20
25,13,Thomas Heurtel,FCB,14,18.2,2.4,5.5,.429,0.6,1.9,.333,0.5,0.6,.778,1.8,0.9,0.1,1.6,1.6,4.6,0.9,0.0,5.9,G,6-2,180,31
