,PLAYER_NAME,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,POS,HEIGHT,WEIGHT,AGE,zona1_attempted,zona1_made,zona2_attempted,zona2_made,zona3_attempted,zona3_made,zona4_attempted,zona4_made,zona5_attempted,zona5_made,zona6_attempted,zona6_made,zona7_attempted,zona7_made,zona8_attempted,zona8_made,zona9_attempted,zona9_made,zona10_attempted,zona10_made,zona11_attempted,zona11_made,zona12_attempted,zona12_made,Cluster
0,A.J. Slaughter,GCN,22,24.3,5.0,10.2,0.484,1.7,4.2,0.402,2.1,2.5,0.839,1.5,2.1,0.4,1.9,2.3,3.7,1.1,0.2,13.7,G,1.9507201,185,33,0.0,0.0,3.0,3.0,7.0,2.0,18.0,6.0,32.0,12.0,36.0,21.0,38.0,18.0,32.0,13.0,16.0,7.0,8.0,5.0,5.0,4.0,3.0,1.0,Playmakers
1,Aaron Doornekamp,CAN,31,25.6,2.6,6.1,0.431,2.0,4.6,0.441,1.1,1.5,0.778,0.7,2.7,0.6,2.9,3.5,1.3,0.8,0.1,8.4,PF,2.04216,212,35,8.0,3.0,15.0,4.0,16.0,6.0,4.0,1.0,29.0,13.0,9.0,5.0,11.0,4.0,31.0,13.0,4.0,1.0,25.0,16.0,8.0,2.0,6.0,4.0,Role-Players
3,Achille Polonara,CAJ,33,26.5,4.2,8.8,0.479,1.4,4.1,0.341,1.5,2.2,0.685,1.2,1.8,1.6,3.8,5.5,1.9,1.1,0.5,11.3,PF,2.0726402,198,29,2.0,1.0,9.0,4.0,6.0,3.0,3.0,1.0,45.0,18.0,44.0,21.0,50.0,30.0,39.0,12.0,7.0,3.0,14.0,3.0,5.0,3.0,2.0,1.0,Playmakers
4,Adam Hanga,FCB,31,16.1,2.2,3.7,0.578,1.1,2.0,0.541,0.8,1.2,0.703,1.4,1.6,0.6,2.8,3.4,2.1,0.8,0.4,6.2,SF,2.04216,200,31,1.0,1.0,4.0,3.0,4.0,2.0,3.0,2.0,20.0,13.0,14.0,8.0,28.0,18.0,19.0,9.0,2.0,2.0,6.0,3.0,2.0,1.0,5.0,1.0,Role-Players
5,Adam Waczynski,UNI,34,18.8,2.7,5.6,0.484,1.3,2.8,0.468,1.1,1.4,0.787,0.7,1.6,0.7,1.4,2.1,1.0,0.5,0.0,7.9,GF,2.01168,210,31,3.0,1.0,12.0,7.0,13.0,8.0,5.0,3.0,19.0,7.0,31.0,12.0,36.0,18.0,14.0,5.0,6.0,4.0,20.0,11.0,10.0,8.0,7.0,2.0,Role-Players
7,Albert Oliver,OBR,31,15.1,1.1,2.5,0.418,0.5,1.3,0.39,1.2,1.4,0.884,1.1,2.1,0.3,1.1,1.4,2.0,0.5,0.0,3.9,PG,1.88976,185,42,0.0,0.0,2.0,0.0,3.0,2.0,6.0,1.0,9.0,3.0,19.0,12.0,10.0,2.0,12.0,5.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,Role-Players
8,Albert Ventura,JOV,32,23.8,2.1,4.0,0.516,1.2,2.6,0.482,0.8,1.1,0.694,0.8,2.2,0.9,1.8,2.7,1.2,1.3,0.1,6.2,SG,1.9812,180,28,1.0,1.0,4.0,2.0,7.0,3.0,6.0,5.0,19.0,6.0,20.0,10.0,21.0,13.0,18.0,9.0,0.0,0.0,14.0,7.0,3.0,1.0,5.0,3.0,Role-Players
9,Alberto Abalde,RMB,30,19.3,2.3,5.2,0.442,1.1,2.4,0.438,1.5,1.8,0.833,0.8,1.2,0.4,2.2,2.6,2.2,0.5,0.0,7.2,GF,2.04216,215,25,2.0,1.0,7.0,3.0,4.0,1.0,6.0,1.0,30.0,14.0,35.0,18.0,31.0,13.0,26.0,11.0,1.0,1.0,2.0,1.0,6.0,3.0,1.0,0.0,Playmakers
10,Alberto Diaz,UNI,27,23.9,2.2,5.7,0.386,1.3,3.7,0.36,0.8,1.0,0.808,0.9,2.5,0.4,1.7,2.1,3.4,1.6,0.0,6.5,PG,1.88976,187,26,2.0,1.0,11.0,6.0,7.0,2.0,8.0,1.0,22.0,7.0,13.0,5.0,15.0,9.0,35.0,15.0,9.0,4.0,13.0,5.0,7.0,2.0,1.0,0.0,Role-Players
11,Alec Brown,EST,35,22.9,2.9,6.7,0.436,1.8,4.5,0.397,0.5,0.7,0.75,0.8,3.1,1.1,2.7,3.9,0.5,0.3,1.2,8.2,C,2.16408,235,28,11.0,5.0,8.0,5.0,21.0,4.0,8.0,4.0,42.0,15.0,21.0,10.0,16.0,7.0,35.0,16.0,7.0,2.0,10.0,6.0,8.0,2.0,9.0,3.0,Playmakers
