,name,jornada,shot,coord_x,coord_y
0,J. Zyskowski,1,#local-in,24.75,126.416664
1,J. Zyskowski,1,#local-in,24.75,23.883333
2,J. Zyskowski,1,#local-out,25.705345,23.883333
3,J. Zyskowski,1,#local-in,27.616035,137.86667
4,J. Zyskowski,1,#local-in,27.128998,129.81667
5,J. Zyskowski,1,#local-in,24.75,154.38333
6,J. Zyskowski,1,#local-out,163.85577,108.61667
7,O. Balvin,1,#local-out,28.552649,159.9
8,O. Balvin,1,#local-out,27.616035,145.91667
9,O. Balvin,1,#local-out,31.418684,146.76666
10,O. Balvin,1,#local-out,103.83761,142.1
11,O. Balvin,1,#local-in,33.329376,134.05
12,J. Rousselle,1,#local-out,157.6554,129.81667
13,J. Rousselle,1,#local-out,79.54186,136.16667
14,J. Rousselle,1,#local-in,25.218306,134.9
15,J. Rousselle,1,#local-out,150.98671,168.36667
16,J. Rousselle,1,#local-in,24.75,145.91667
17,J. Rousselle,1,#local-in,24.75,134.9
18,J. Rousselle,1,#local-out,32.37403,147.18333
19,Q. Serron,1,#local-out,132.42303,208.2
20,Q. Serron,1,#local-out,40.953407,137.86667
21,Q. Serron,1,#local-in,25.218306,147.6
22,Q. Serron,1,#local-out,150.03136,89.55
23,A. Kulboka,1,#local-in,131.936,70.48333
24,A. Kulboka,1,#local-out,24.75,91.666664
25,A. Kulboka,1,#local-out,105.26126,232.78334
26,A. Kulboka,1,#local-out,25.705345,134.9
27,A. Kulboka,1,#local-out,150.5184,90.833336
28,A. Kulboka,1,#local-out,162.43211,156.93333
29,A. Kulboka,1,#local-in,29.507994,257.35
30,A. Kulboka,1,#local-out,27.616035,22.6
31,A. Kulboka,1,#local-out,85.72351,202.26666
32,L. Hakanson,1,#local-in,52.848392,92.95
33,L. Hakanson,1,#local-in,30.463339,148.03334
34,L. Hakanson,1,#local-out,28.552649,254.81667
35,L. Hakanson,1,#local-in,117.64328,79.816666
36,L. Hakanson,1,#local-out,106.216606,114.13333
37,L. Hakanson,1,#local-out,98.10554,179.81667
38,L. Hakanson,1,#local-out,98.10554,88.7
39,A. Reyes,1,#local-in,39.998062,127.26667
40,A. Reyes,1,#local-out,130.98065,57.783333
41,A. Reyes,1,#local-out,31.886992,257.78333
42,A. Reyes,1,#local-in,150.5184,89.98333
43,J. Brown,1,#local-out,155.2764,172.18333
44,J. Brown,1,#local-in,28.552649,148.03334
45,J. Brown,1,#local-out,26.173653,259.46667
46,J. Brown,1,#local-out,67.141106,81.5
47,J. Brown,1,#local-out,30.950378,115.833336
48,J. Brown,1,#local-out,38.087368,137.43333
49,J. Brown,1,#local-out,32.84234,84.46667
50,J. Brown,1,#local-in,25.705345,145.91667
51,J. Brown,1,#local-in,85.2552,248.45
52,J. Brown,1,#local-in,70.00714,258.2
53,J. Brown,1,#local-in,122.88831,230.65
54,K. Moses,1,#local-out,131.4677,212.86667
