,#,PLAYER_NAME,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age,zona1_attempted,zona1_made,zona2_attempted,zona2_made,zona3_attempted,zona3_made,zona4_attempted,zona4_made,zona5attempted,zona5_made,zona6_attempted,zona6_made,zona7_attempted,zona7_made,zona8_attempted,zona8_made,zona9_attempted,zona9_made,zona10_attempted,zona10_made,zona11_attempted,zona11_made,zona12_attempted,zona12_made
0,3,A.J. Slaughter,GCN,22.0,24.3,8.2,16.9,0.484,2.8,6.9,0.402,3.5,4.2,0.839,2.5,3.4,0.7,3.1,3.8,6.1,1.8,0.3,22.6,G,6-4,185,33,0.0,0.0,3.0,3.0,7.0,2.0,18.0,6.0,32.0,12.0,36.0,21.0,38.0,18.0,32.0,13.0,16.0,7.0,8.0,5.0,5.0,4.0,3.0,1.0
1,11,Aaron Doornekamp,CAN,31.0,25.6,4.1,9.5,0.431,3.2,7.2,0.441,1.8,2.3,0.778,1.2,4.2,0.9,4.5,5.4,2.0,1.3,0.2,13.1,PF,6-7,212,35,8.0,3.0,15.0,4.0,16.0,6.0,4.0,1.0,29.0,13.0,9.0,5.0,11.0,4.0,31.0,13.0,4.0,1.0,25.0,16.0,8.0,2.0,6.0,4.0
2,19,Aaron Jones,BBB,8.0,19.7,3.3,7.9,0.419,0.8,2.0,0.375,1.0,1.5,0.667,2.8,3.8,4.6,3.0,7.6,2.0,1.0,0.8,8.4,F,6-9,220,27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,9.0,5.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
3,6,Achille Polonara,CAJ,33.0,26.5,6.4,13.3,0.479,2.1,6.2,0.341,2.3,3.3,0.685,1.8,2.7,2.5,5.8,8.2,2.9,1.7,0.8,17.1,PF,6-8,198,29,2.0,1.0,9.0,4.0,6.0,3.0,3.0,1.0,45.0,18.0,44.0,21.0,50.0,30.0,39.0,12.0,7.0,3.0,14.0,3.0,5.0,3.0,2.0,1.0
4,12,Adam Hanga,FCB,31.0,16.1,5.4,9.3,0.578,2.6,4.9,0.541,2.1,3.0,0.703,3.4,4.0,1.4,7.1,8.5,5.2,2.1,1.0,15.5,SF,6-7,200,31,1.0,1.0,4.0,3.0,4.0,2.0,3.0,2.0,20.0,13.0,14.0,8.0,28.0,18.0,19.0,9.0,2.0,2.0,6.0,3.0,2.0,1.0,5.0,1.0
5,7,Adam Waczynski,UNI,34.0,18.8,5.8,12.0,0.484,2.7,5.9,0.468,2.3,2.9,0.787,1.6,3.5,1.4,2.9,4.4,2.2,1.1,0.1,16.7,GF,6-6,210,31,3.0,1.0,12.0,7.0,13.0,8.0,5.0,3.0,19.0,7.0,31.0,12.0,36.0,18.0,14.0,5.0,6.0,4.0,20.0,11.0,10.0,8.0,7.0,2.0
6,15,Adams Sola,EST,30.0,7.2,2.0,6.1,0.333,0.7,3.7,0.2,0.6,1.3,0.429,0.7,6.3,2.2,3.7,5.9,1.5,1.7,0.2,5.4,G,6-5,165,20,1.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0,5.0,3.0,4.0,4.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0
8,9,Albert Oliver,OBR,31.0,15.1,2.8,6.7,0.418,1.4,3.5,0.39,3.2,3.7,0.884,2.8,5.6,0.8,3.0,3.8,5.2,1.3,0.0,10.2,PG,6-2,185,42,0.0,0.0,2.0,0.0,3.0,2.0,6.0,1.0,9.0,3.0,19.0,12.0,10.0,2.0,12.0,5.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0
10,15,Albert Ventura,JOV,32.0,23.8,3.5,6.7,0.516,2.1,4.4,0.482,1.3,1.9,0.694,1.3,3.7,1.5,3.1,4.5,2.0,2.3,0.2,10.4,SG,6-5,180,28,1.0,1.0,4.0,2.0,7.0,3.0,6.0,5.0,19.0,6.0,20.0,10.0,21.0,13.0,18.0,9.0,0.0,0.0,14.0,7.0,3.0,1.0,5.0,3.0
11,13,Alberto Abalde,RMB,30.0,19.3,4.8,10.8,0.442,2.2,5.0,0.438,3.1,3.7,0.833,1.7,2.4,0.9,4.6,5.5,4.5,1.0,0.1,14.8,GF,6-7,215,25,2.0,1.0,7.0,3.0,4.0,1.0,6.0,1.0,30.0,14.0,35.0,18.0,31.0,13.0,26.0,11.0,1.0,1.0,2.0,1.0,6.0,3.0,1.0,0.0
13,14,Alberto Diaz,UNI,27.0,23.9,3.7,9.5,0.386,2.2,6.2,0.36,1.3,1.6,0.808,1.4,4.2,0.7,2.8,3.5,5.8,2.7,0.0,10.8,PG,6-2,187,26,2.0,1.0,11.0,6.0,7.0,2.0,8.0,1.0,22.0,7.0,13.0,5.0,15.0,9.0,35.0,15.0,9.0,4.0,13.0,5.0,7.0,2.0,1.0,0.0
14,7,Alec Brown,EST,35.0,22.9,5.1,11.8,0.436,3.1,7.8,0.397,0.9,1.2,0.75,1.4,5.5,2.0,4.8,6.8,0.8,0.6,2.0,14.3,C,7-1,235,28,11.0,5.0,8.0,5.0,21.0,4.0,8.0,4.0,42.0,15.0,21.0,10.0,16.0,7.0,35.0,16.0,7.0,2.0,10.0,6.0,8.0,2.0,9.0,3.0
15,3,Alec Peters,CAJ,32.0,21.8,6.4,13.6,0.471,2.6,6.8,0.387,3.3,3.6,0.919,2.2,3.7,1.8,5.3,7.2,2.2,0.9,0.5,18.7,F,6-9,225,25,2.0,1.0,11.0,7.0,7.0,2.0,7.0,2.0,40.0,14.0,45.0,28.0,40.0,22.0,28.0,11.0,10.0,2.0,11.0,5.0,15.0,8.0,8.0,5.0
16,10,Aleix Font,ZAR,8.0,4.6,6.6,15.3,0.429,3.3,4.4,0.75,1.1,1.1,1.0,1.1,9.8,4.4,1.1,5.5,0.0,1.1,0.0,17.5,SG,6-4,188,22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
17,2,Aleksa Avramovic,EST,35.0,29.7,7.6,17.5,0.437,1.9,5.8,0.322,4.8,5.8,0.834,2.5,2.8,0.7,3.2,3.9,4.7,1.6,0.4,22.0,G,6-3,190,26,2.0,2.0,10.0,3.0,12.0,4.0,17.0,4.0,46.0,11.0,93.0,48.0,115.0,55.0,41.0,13.0,12.0,4.0,10.0,4.0,7.0,4.0,9.0,3.0
18,12,Aleksandar Cvetkovic,EST,27.0,15.2,3.7,7.5,0.494,2.1,5.2,0.415,1.7,1.9,0.895,3.3,5.0,0.7,2.2,2.9,4.5,1.5,0.0,11.2,PG,6-2,165,27,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,11.0,3.0,3.0,2.0,7.0,5.0,18.0,7.0,1.0,0.0,5.0,3.0,2.0,0.0,3.0,1.0
