,#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age
0,1,Jaime Echenique,,,,,,,,,,,,,,,,,,,,,,C,6-11,258,23
1,4,Dino Radoncic,GBC,34,28.0,5.7,12.8,.451,1.0,4.1,.255,3.1,4.1,.755,2.6,2.4,2.6,5.3,7.8,2.1,1.6,0.4,15.6,GF,6-8,225,22
2,5,Mike Carlson,GBC,17,16.2,5.8,13.4,.435,2.0,6.8,.298,1.0,1.9,.538,1.6,5.2,1.9,3.8,5.7,1.6,1.3,0.4,14.7,PF,6-9,200,29
3,6,William Magarity,GBC,29,14.8,5.0,13.1,.386,2.1,7.0,.293,2.1,2.4,.846,1.6,3.9,1.8,4.6,6.4,1.4,0.7,0.8,14.2,FC,6-11,250,27
4,7,Pere Tomas,GBC,32,25.5,4.6,11.1,.410,2.3,6.6,.351,1.3,1.6,.818,1.4,2.7,2.5,5.2,7.6,1.5,1.1,0.0,12.8,SF,6-6,198,31
5,8,Lucas Faggiano,GBC,34,24.2,4.7,11.6,.408,1.6,4.4,.367,1.6,2.3,.688,3.0,3.7,0.6,2.9,3.4,5.7,1.7,0.1,12.6,G,6-2,185,31
6,9,Jan Span,GBC,34,19.9,4.8,16.4,.291,2.2,9.8,.229,0.5,0.8,.643,2.6,2.7,0.6,1.5,2.2,3.5,1.3,0.0,12.3,PG,6-1,190,28
7,10,Brandone Francis,GBC,15,16.2,4.3,14.2,.302,1.6,6.1,.270,1.8,2.5,.733,3.8,4.6,0.8,1.8,2.6,1.0,1.6,0.3,12.0,GF,6-5,215,25
8,11,Mikel Motos,GBC,17,5.0,3.3,13.7,.241,0.5,4.2,.111,1.9,2.8,.667,3.3,6.1,2.4,6.1,8.5,3.3,0.9,0.5,9.0,SG,6-4,187,28
9,12,Julen Olaizola,GBC,29,8.9,3.1,6.7,.465,0.3,1.4,.222,0.8,2.8,.278,2.6,8.8,4.5,3.6,8.1,1.2,1.5,0.3,7.3,FC,6-7,218,27
10,13,Xabi Oroz,GBC,31,18.8,2.8,6.3,.451,0.9,2.1,.433,0.4,1.0,.429,2.5,3.5,1.4,3.1,4.5,6.0,2.7,0.4,6.9,SG,6-3,183,25
11,1,Nikola Mirotic,FCB,28,20.9,9.9,16.4,.600,3.4,7.0,.485,5.1,6.4,.806,3.0,2.8,1.8,7.8,9.7,1.6,1.7,0.9,28.3,F,6-10,250,30
12,2,Brandon Davies,FCB,25,16.8,8.2,14.8,.555,0.1,0.4,.250,7.1,8.5,.831,3.5,5.7,3.2,5.7,9.0,3.1,1.5,0.9,23.5,PF,6-8,240,29
13,3,Pau Gasol,FCB,6,15.1,9.3,18.1,.512,0.4,1.3,.333,4.4,4.9,.909,2.7,3.1,1.8,8.8,10.6,3.5,0.4,1.8,23.4,FC,7-0,250,40
14,4,Artem Pustovyi,FCB,21,14.5,8.4,13.3,.634,0.0,0.0,.000,4.7,6.7,.706,3.7,5.5,3.9,5.0,8.9,1.1,1.1,2.1,21.6,C,7-2,212,28
15,5,Kyle Kuric,FCB,30,17.4,6.7,13.0,.515,3.1,7.1,.441,3.6,4.0,.904,1.6,2.5,1.2,2.6,3.8,1.3,1.3,0.3,20.1,SG,6-4,195,31
16,6,Cory Higgins,FCB,23,21.3,6.4,13.5,.473,1.4,3.5,.395,4.9,5.4,.909,1.9,3.0,0.5,3.4,3.9,4.6,2.4,0.7,19.0,G,6-5,181,31
17,7,Alex Abrines,FCB,29,20.7,5.6,10.8,.519,3.5,7.6,.465,2.1,2.3,.914,1.2,4.2,1.7,3.8,5.5,1.8,1.5,0.4,16.8,GF,6-6,190,27
18,8,Pierre Oriola,FCB,34,15.9,6.9,11.4,.604,0.4,0.9,.500,2.1,3.9,.558,2.7,5.2,3.5,5.6,9.1,1.6,0.7,0.5,16.4,PF,6-8,235,28
19,9,Rolands Smits,FCB,32,15.8,5.8,11.5,.500,1.5,4.0,.373,3.2,4.3,.745,2.8,5.0,2.6,4.9,7.5,1.5,1.5,0.2,16.3,SF,6-10,235,25
20,10,Leandro Bolmaro,FCB,31,15.2,5.1,10.0,.508,1.8,3.9,.457,3.9,4.4,.885,3.2,3.9,1.1,2.6,3.7,4.9,2.1,0.5,15.9,SG,6-7,182,20
21,11,Nick Calathes,FCB,32,19.5,6.5,13.7,.472,1.7,4.3,.403,1.2,2.1,.576,3.6,4.7,1.2,4.9,6.0,11.0,2.3,0.2,15.9,PG,6-6,213,32
22,12,Adam Hanga,FCB,31,16.1,5.4,9.3,.578,2.6,4.9,.541,2.1,3.0,.703,3.4,4.0,1.4,7.1,8.5,5.2,2.1,1.0,15.5,SF,6-7,200,31
