,#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age
0,1,Jaime Echenique,GBC,16,22.1,0.2,0.4,.544,0.0,0.0,.667,0.1,0.2,.797,0.1,0.1,0.1,0.1,0.2,0.0,0.1,0.0,0.6,C,6-11,258,23
1,2,Johnny Dee,GBC,33,20.2,0.2,0.4,.396,0.1,0.3,.398,0.1,0.1,.846,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.5,G,6-0,185,28
2,3,Viny Okouo,GBC,33,19.0,0.2,0.4,.512,0.0,0.0,.000,0.1,0.1,.604,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.0,0.5,C,7-1,240,23
3,4,Dino Radoncic,GBC,33,27.8,0.1,0.3,.446,0.0,0.1,.260,0.1,0.1,.755,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.4,GF,6-8,225,22
4,5,Mike Carlson,GBC,16,16.1,0.1,0.3,.442,0.1,0.2,.304,0.0,0.1,.538,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.4,PF,6-9,200,29
5,6,William Magarity,GBC,28,15.1,0.1,0.3,.391,0.1,0.2,.297,0.1,0.1,.846,0.0,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.4,FC,6-11,250,27
6,7,Lucas Faggiano,GBC,33,24.4,0.1,0.3,.418,0.0,0.1,.375,0.0,0.1,.688,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.3,G,6-2,185,31
7,8,Pere Tomas,GBC,31,25.5,0.1,0.3,.411,0.1,0.2,.357,0.0,0.0,.818,0.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.3,SF,6-6,198,31
8,9,Jan Span,GBC,33,19.7,0.1,0.4,.287,0.1,0.2,.230,0.0,0.0,.643,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.3,PG,6-1,190,28
9,10,Brandone Francis,GBC,15,16.2,0.1,0.4,.302,0.0,0.2,.270,0.0,0.1,.733,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.3,GF,6-5,215,25
10,11,Mikel Motos,GBC,16,5.2,0.1,0.3,.250,0.0,0.1,.125,0.0,0.1,.667,0.1,0.1,0.1,0.2,0.2,0.1,0.0,0.0,0.2,SG,6-4,187,28
11,12,Julen Olaizola,GBC,28,8.9,0.1,0.2,.463,0.0,0.0,.222,0.0,0.1,.278,0.1,0.2,0.1,0.1,0.2,0.0,0.0,0.0,0.2,FC,6-7,218,27
12,13,Xabi Oroz,GBC,31,18.8,0.1,0.2,.451,0.0,0.1,.433,0.0,0.0,.429,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.2,SG,6-3,183,25
13,1,Nikola Mirotic,FCB,28,20.9,0.2,0.4,.600,0.1,0.2,.485,0.1,0.2,.806,0.1,0.1,0.0,0.2,0.2,0.0,0.0,0.0,0.7,F,6-10,250,30
14,2,Brandon Davies,FCB,25,16.8,0.2,0.4,.555,0.0,0.0,.250,0.2,0.2,.831,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.6,PF,6-8,240,29
15,3,Pau Gasol,FCB,6,15.1,0.2,0.5,.512,0.0,0.0,.333,0.1,0.1,.909,0.1,0.1,0.0,0.2,0.3,0.1,0.0,0.0,0.6,FC,7-0,250,40
16,4,Artem Pustovyi,FCB,21,14.5,0.2,0.3,.634,0.0,0.0,.000,0.1,0.2,.706,0.1,0.1,0.1,0.1,0.2,0.0,0.0,0.1,0.5,C,7-2,212,28
17,5,Kyle Kuric,FCB,30,17.4,0.2,0.3,.515,0.1,0.2,.441,0.1,0.1,.904,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.5,SG,6-4,195,31
